"user_group","database","table","start_time","end_time","queries"
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 08:30:00","2026-01-22 09:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 09:00:00","2026-01-22 09:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 09:30:00","2026-01-22 10:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 10:00:00","2026-01-22 10:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 10:30:00","2026-01-22 11:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 11:00:00","2026-01-22 11:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 11:30:00","2026-01-22 12:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 12:00:00","2026-01-22 12:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 12:30:00","2026-01-22 13:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 13:00:00","2026-01-22 13:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 13:30:00","2026-01-22 14:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 14:00:00","2026-01-22 14:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 14:30:00","2026-01-22 15:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 15:00:00","2026-01-22 15:30:00",12
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 15:30:00","2026-01-22 16:00:00",14
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 16:00:00","2026-01-22 16:30:00",10
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 16:30:00","2026-01-22 17:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 17:00:00","2026-01-22 17:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 17:30:00","2026-01-22 18:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 18:00:00","2026-01-22 18:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 18:30:00","2026-01-22 19:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 19:00:00","2026-01-22 19:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 19:30:00","2026-01-22 20:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 20:00:00","2026-01-22 20:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 20:30:00","2026-01-22 21:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 21:00:00","2026-01-22 21:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 21:30:00","2026-01-22 22:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 22:00:00","2026-01-22 22:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 22:30:00","2026-01-22 23:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 23:00:00","2026-01-22 23:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-22 23:30:00","2026-01-23 00:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 00:00:00","2026-01-23 00:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 00:30:00","2026-01-23 01:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 01:00:00","2026-01-23 01:30:00",8
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 01:30:00","2026-01-23 02:00:00",8
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 02:00:00","2026-01-23 02:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 02:30:00","2026-01-23 03:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 03:00:00","2026-01-23 03:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 03:30:00","2026-01-23 04:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 04:00:00","2026-01-23 04:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 04:30:00","2026-01-23 05:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 05:00:00","2026-01-23 05:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 05:30:00","2026-01-23 06:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 06:00:00","2026-01-23 06:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 06:30:00","2026-01-23 07:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 07:00:00","2026-01-23 07:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 07:30:00","2026-01-23 08:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 08:00:00","2026-01-23 08:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 08:30:00","2026-01-23 09:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 09:00:00","2026-01-23 09:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 09:30:00","2026-01-23 10:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 10:00:00","2026-01-23 10:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 10:30:00","2026-01-23 11:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 11:00:00","2026-01-23 11:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 11:30:00","2026-01-23 12:00:00",17
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 12:00:00","2026-01-23 12:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 12:30:00","2026-01-23 13:00:00",10
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 13:00:00","2026-01-23 13:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 13:30:00","2026-01-23 14:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 14:00:00","2026-01-23 14:30:00",7
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 14:30:00","2026-01-23 15:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 15:00:00","2026-01-23 15:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 15:30:00","2026-01-23 16:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 16:00:00","2026-01-23 16:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 16:30:00","2026-01-23 17:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 17:00:00","2026-01-23 17:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 17:30:00","2026-01-23 18:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 18:00:00","2026-01-23 18:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 18:30:00","2026-01-23 19:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 19:00:00","2026-01-23 19:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 19:30:00","2026-01-23 20:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 20:00:00","2026-01-23 20:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 20:30:00","2026-01-23 21:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 21:00:00","2026-01-23 21:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 21:30:00","2026-01-23 22:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 22:00:00","2026-01-23 22:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 22:30:00","2026-01-23 23:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 23:00:00","2026-01-23 23:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-23 23:30:00","2026-01-24 00:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 00:00:00","2026-01-24 00:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 00:30:00","2026-01-24 01:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 01:00:00","2026-01-24 01:30:00",8
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 01:30:00","2026-01-24 02:00:00",8
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 02:00:00","2026-01-24 02:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 02:30:00","2026-01-24 03:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 03:00:00","2026-01-24 03:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 03:30:00","2026-01-24 04:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 04:00:00","2026-01-24 04:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 04:30:00","2026-01-24 05:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 05:00:00","2026-01-24 05:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 05:30:00","2026-01-24 06:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 06:00:00","2026-01-24 06:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 06:30:00","2026-01-24 07:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 07:00:00","2026-01-24 07:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 07:30:00","2026-01-24 08:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 08:00:00","2026-01-24 08:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 08:30:00","2026-01-24 09:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 09:00:00","2026-01-24 09:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 09:30:00","2026-01-24 10:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 10:00:00","2026-01-24 10:30:00",7
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 10:30:00","2026-01-24 11:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 11:00:00","2026-01-24 11:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 11:30:00","2026-01-24 12:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 12:00:00","2026-01-24 12:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 12:30:00","2026-01-24 13:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 13:00:00","2026-01-24 13:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 13:30:00","2026-01-24 14:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 14:00:00","2026-01-24 14:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 14:30:00","2026-01-24 15:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 15:00:00","2026-01-24 15:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 15:30:00","2026-01-24 16:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 16:00:00","2026-01-24 16:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 16:30:00","2026-01-24 17:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 17:00:00","2026-01-24 17:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 17:30:00","2026-01-24 18:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 18:00:00","2026-01-24 18:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 18:30:00","2026-01-24 19:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 19:00:00","2026-01-24 19:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 19:30:00","2026-01-24 20:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 20:00:00","2026-01-24 20:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 20:30:00","2026-01-24 21:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 21:00:00","2026-01-24 21:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 21:30:00","2026-01-24 22:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 22:00:00","2026-01-24 22:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 22:30:00","2026-01-24 23:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 23:00:00","2026-01-24 23:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-24 23:30:00","2026-01-25 00:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 00:00:00","2026-01-25 00:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 00:30:00","2026-01-25 01:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 01:00:00","2026-01-25 01:30:00",8
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 01:30:00","2026-01-25 02:00:00",8
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 02:00:00","2026-01-25 02:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 02:30:00","2026-01-25 03:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 03:00:00","2026-01-25 03:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 03:30:00","2026-01-25 04:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 04:00:00","2026-01-25 04:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 04:30:00","2026-01-25 05:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 05:00:00","2026-01-25 05:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 05:30:00","2026-01-25 06:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 06:00:00","2026-01-25 06:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 06:30:00","2026-01-25 07:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 07:00:00","2026-01-25 07:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 07:30:00","2026-01-25 08:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 08:00:00","2026-01-25 08:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 08:30:00","2026-01-25 09:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 09:00:00","2026-01-25 09:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 09:30:00","2026-01-25 10:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 10:00:00","2026-01-25 10:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 10:30:00","2026-01-25 11:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 11:00:00","2026-01-25 11:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 11:30:00","2026-01-25 12:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 12:00:00","2026-01-25 12:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 12:30:00","2026-01-25 13:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 13:00:00","2026-01-25 13:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 13:30:00","2026-01-25 14:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 14:00:00","2026-01-25 14:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 14:30:00","2026-01-25 15:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 15:00:00","2026-01-25 15:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 15:30:00","2026-01-25 16:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 16:00:00","2026-01-25 16:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 16:30:00","2026-01-25 17:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 17:00:00","2026-01-25 17:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 17:30:00","2026-01-25 18:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 18:00:00","2026-01-25 18:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 18:30:00","2026-01-25 19:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 19:00:00","2026-01-25 19:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 19:30:00","2026-01-25 20:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 20:00:00","2026-01-25 20:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 20:30:00","2026-01-25 21:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 21:00:00","2026-01-25 21:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 21:30:00","2026-01-25 22:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 22:00:00","2026-01-25 22:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 22:30:00","2026-01-25 23:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 23:00:00","2026-01-25 23:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-25 23:30:00","2026-01-26 00:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 00:00:00","2026-01-26 00:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 00:30:00","2026-01-26 01:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 01:00:00","2026-01-26 01:30:00",8
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 01:30:00","2026-01-26 02:00:00",8
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 02:00:00","2026-01-26 02:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 02:30:00","2026-01-26 03:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 03:00:00","2026-01-26 03:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 03:30:00","2026-01-26 04:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 04:00:00","2026-01-26 04:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 04:30:00","2026-01-26 05:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 05:00:00","2026-01-26 05:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 05:30:00","2026-01-26 06:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 06:00:00","2026-01-26 06:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 06:30:00","2026-01-26 07:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 07:00:00","2026-01-26 07:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 07:30:00","2026-01-26 08:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 08:00:00","2026-01-26 08:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 08:30:00","2026-01-26 09:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 09:00:00","2026-01-26 09:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 09:30:00","2026-01-26 10:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 10:00:00","2026-01-26 10:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 10:30:00","2026-01-26 11:00:00",7
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 11:00:00","2026-01-26 11:30:00",8
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 11:30:00","2026-01-26 12:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 12:00:00","2026-01-26 12:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 12:30:00","2026-01-26 13:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 13:00:00","2026-01-26 13:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 13:30:00","2026-01-26 14:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 14:00:00","2026-01-26 14:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 14:30:00","2026-01-26 15:00:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 15:00:00","2026-01-26 15:30:00",6
"__NON_HUMAN__","business","business.ioa_log","2026-01-26 15:30:00","2026-01-26 16:00:00",6
